Symbol,GPA
0200002C,3.75
0200002D,3.75
0200003C,1.45
0200003D,1.45
0200004C,2.75
0200004D,2.75
0200005C,2.3
0200005D,2.3
0200006C,2.85
0200006D,2.85
0200007C,2.0
0200007D,2.0
0200008C,2.5
0200008D,2.5
0200009C,2.6
0200009D,2.6
0200010C,2.6
0200010D,2.6
0200011C,2.6
0200011D,2.6
0200012C,3.1
0200012D,3.1
0200013C,2.15
0200013D,2.15
0200014C,2.5
0200014D,2.5
0200016C,1.65
0200016D,1.65
0200017C,1.55
0200017D,1.55
0200018C,1.2
0200018D,1.2
0200019C,2.05
0200019D,2.05
0200020C,1.65
0200020D,1.65
0200021C,1.9
0200021D,1.9
0200022C,1.8
0200022D,1.8
0200023C,2.0
0200023D,2.0
0200025C,2.0
0200025D,2.0
0200026C,1.2
0200026D,1.2
0200027C,2.4
0200027D,2.4
0200028C,2.05
0200028D,2.05
0200029C,2.3
0200029D,2.3
0200030C,1.95
0200030D,1.95
0200032C,2.05
0200032D,2.05
0200033C,2.15
0200033D,2.15
0200034C,2.8
0200034D,2.8
0200035C,2.25
0200035D,2.25
0200036C,2.3
0200036D,2.3
0200037C,2.35
0200037D,2.35
0200039C,2.1
0200039D,2.1
0200040C,2.1
0200040D,2.1
0200041C,1.35
0200041D,1.35
0200042C,2.15
0200042D,2.15
0200043C,2.8
0200043D,2.8
0200044C,2.15
0200044D,2.15
0200045C,1.5
0200045D,1.5
0200046C,1.3
0200046D,1.3
0200048C,2.25
0200048D,2.25
0200049C,1.9
0200049D,1.9
0200050C,1.45
0200050D,1.45
0200051C,1.65
0200051D,1.65
0200052C,1.75
0200052D,1.75
0200053C,1.65
0200053D,1.65
0200054C,2.25
0200054D,2.25
0200055C,1.9
0200055D,1.9
0200056C,2.4
0200056D,2.4
0200057C,1.35
0200057D,1.35
0200058C,2.3
0200058D,2.3
0200059C,1.75
0200059D,1.75
0200060C,1.95
0200060D,1.95
0200061C,2.4
0200061D,2.4
0200062C,2.0
0200062D,2.0
0200063C,2.1
0200063D,2.1
0200064C,2.25
0200064D,2.25
0200065C,2.5
0200065D,2.5
0200066C,1.5
0200066D,1.5
0200067C,2.0
0200067D,2.0
0200068C,1.55
0200068D,1.55
0200069C,1.85
0200069D,1.85
0200070C,1.65
0200070D,1.65
0200071C,2.05
0200071D,2.05
0200072C,2.3
0200072D,2.3
0200073C,2.3
0200073D,2.3
0200075C,1.9
0200075D,1.9
0200076C,1.65
0200076D,1.65
0200077C,2.4
0200077D,2.4
0200078C,2.75
0200078D,2.75
0200079C,2.6
0200079D,2.6
0200080C,1.75
0200080D,1.75
0200081C,1.8
0200081D,1.8
0200082C,2.15
0200082D,2.15
0200083C,1.85
0200083D,1.85
0200084C,2.4
0200084D,2.4
0200085C,3.1
0200085D,3.1
0200086C,3.3
0200086D,3.3
0200087C,2.0
0200087D,2.0
0200088C,1.5
0200088D,1.5
0200089C,1.35
0200089D,1.35
0200090C,1.9
0200090D,1.9
0200092C,1.7
0200092D,1.7
0200093C,2.15
0200093D,2.15
0200094C,1.85
0200094D,1.85
0200095C,1.75
0200095D,1.75
0200096C,2.2
0200096D,2.2
0200097C,2.0
0200097D,2.0
0200098C,2.7
0200098D,2.7
0200099C,2.7
0200099D,2.7
0200100C,2.3
0200100D,2.3
0200101C,2.7
0200101D,2.7
0200102C,2.3
0200102D,2.3
0200103C,2.6
0200103D,2.6
0200104C,2.25
0200104D,2.25
0200105C,2.9
0200105D,2.9
0200106C,2.55
0200106D,2.55
0200107C,2.95
0200107D,2.95
0200108C,3.05
0200108D,3.05
0200109C,1.9
0200109D,1.9
0200110C,1.65
0200110D,1.65
0200111C,2.05
0200111D,2.05
0200112C,2.65
0200112D,2.65
0200113C,1.7
0200113D,1.7
0200114C,1.85
0200114D,1.85
0200115C,1.9
0200115D,1.9
0200116C,1.25
0200116D,1.25
0200117C,2.0
